sphote	sppar	para	a	b	c	d	f	g	aa	bb	cc	lm	li
Disa	igno	Disa8igno2	1.250421	1.203162	0.821301	0.567753	0.680118	0.404682	1.056057	0.996441	0.638205	1.726593	1.58172
Disa	eleg	Disa9eleg1	2.028336	1.914369	1.400505	0.712176	0.825063	0.513987	1.748913	1.689027	1.153158	2.521995	2.856237
Disa	eleg	Disa9eleg2	2.160699	2.088672	1.546809	0.738906	0.954186	0.539358	1.99869	2.015817	1.348557	2.563017	2.9265
Disa	eleg	Disa9eleg3	2.09148	2.044257	1.462776	0.717153	0.886632	0.507435	1.893381	1.819176	1.167162	2.591034	3.163821
Disa	eleg	Disa9eleg4	2.045553	1.991004	1.421898	0.687471	0.905946	0.51	1.804983	1.771116	1.144032	2.35329	2.935437
Disa	erge	Disa9erge1	2.043132	1.976298	1.3047	0.908439	0.942	0.507066	1.631472	1.585662	0.965976	2.670972	2.405256
Disa	erge	Disa9erge2							1.512033	1.442418	0.9888	2.811714	2.441805
Disa	erge	Disa9erge3	2.025177	1.953285	1.258989	0.89079	1.024818	0.45132	2.014413	1.925808	1.159485	2.835429	2.374179
Disa	erge	Disa9erge4	1.554738	1.433463	0.907485	0.743712	0.708306	0.434724	1.923837	1.836618	1.125933	2.830677	2.338521
Disa	furc	Disa9furc1	2.03109	1.93866	1.42017	0.721851	0.802158	0.466818	1.831749	1.762026	1.268493	2.006655	2.680314
Disa	conf	Disa9conf1	1.203549	1.243608	0.74976	0.744288	0.697209	0.370239	0.975921	0.900699	0.671262	1.172796	1.144032
Disa	falc	Disa9falc1	1.085595	1.087917	0.699468	0.569922	0.519711	0.292254	0.955851	1.025196	0.656115	1.523067	1.494969
